Al_concentration,Al_ppm,OH_concentration
0.05,80.23,2.35
0.05,80.07,4.02
0.05,79.24,8.1
0.05,78.67,9.8
0.05,78.96,9.12
0.05,78.11,11.16
0.05,77.8,11.84
0.05,77.03,13.17
0.05,76.67,13.88
0.05,76.06,14.86
0.05,75.12,15.92
0.05,74.36,16.92
0.1,80.31,1.58
0.1,80.21,3.02
0.1,80.07,4.56
0.1,79.76,6.06
0.1,78.98,8.91
0.1,79.43,7.55
0.1,78.37,10.68
0.1,76.77,13.61
0.1,75.73,15.05
0.1,74.2,16.86
0.1,73.05,17.84
0.396,80.21,1.52
0.396,80.12,3.02
0.396,79.93,4.45
0.396,79.41,7.51
0.396,79.15,8.95
0.396,78.74,10.45
0.396,78.32,11.19
0.396,77.73,13.53
0.396,76.86,15.07
0.396,76.57,16.46
0.396,74.57,18.02
0.8,80.33,1.5
0.8,80.14,4.5
0.8,79.55,7.53
0.8,79.47,9.01
0.8,79.17,10.49
0.8,78.84,12.07
0.8,79,13.53
0.8,78.67,15.17
0.8,78.1,16.75
1.2,80.28,3.02
1.2,79.93,4.81
1.2,79.88,5.99
1.2,79.88,7.53
1.2,80.13,8.95
1.2,80.27,10.51
1.2,79.56,11.99
1.2,79.71,12.59
1.2,79.96,13.53
1.2,79.68,15.03
1.2,79.44,16.57
2,80.21,3.02
2,80.14,4.64
2,80.02,5.99
2,79.83,7.39
2,80.02,8.78
2,79.83,10.43
2,79.49,11.78
2,79.52,13.3
2,79.61,14.55
3,79.95,4.79
3,79.88,5.97
3,79.9,7.55
3,80.13,8.95
3,80.3,10.51
3,79.56,11.99
3,79.71,12.59